Name;Path;Data Type;Value;Comment
ARB_CMD_BLOCKED ;Constant;USInt;5;Команда заблокована — застосований CMD_SET_FORCE
ARB_CMD_INVALID ;Constant;USInt;6;Недійсна команда (CMD_NONE заборонено)
ARB_LOCAL_MANUAL;Constant;USInt;1;Механізм у режимі Local/Manual
ARB_OK;Constant;USInt;0;Успіх
ARB_OWNER_BUSY;Constant;USInt;2;Механізм зайнятий іншим власником
ARB_SLOT_INVALID ;Constant;USInt;4;Недійсний слот
ARB_WRONG_STATUS;Constant;USInt;3;Неправильний статус для команди — не IDLE і не FAULT
CMD_GATE_POS0;Constant;USInt;6;Команда засувці — перейти в положення 0 (закрито)
CMD_GATE_POS1;Constant;USInt;7;Команда засувці — перейти в положення 1 (відкрито)
CMD_NONE;Constant;USInt;0;Немає команди
CMD_RELEASE_OWNER;Constant;USInt;5;Звільнити власника
CMD_RESET;Constant;USInt;3;Скинути аварію
CMD_SET_OWNER_SCADA;Constant;USInt;8;Захопити власника без виконання команди (мета-команда)
CMD_START;Constant;USInt;1;Запустити механізм
CMD_STOP;Constant;USInt;2;Зупинити механізм
FLT_ALINGMENT;Constant;UInt;15;Аварія вирівнювання (норія)
FLT_BOTH_SENSORS;Constant;UInt;18;Обидва кінцеві датчики активні одночасно (засувка)
FLT_BREAKER;Constant;UInt;11;Аварія автомата захисту
FLT_GATE_MOVE_TIMEOUT;Constant;UInt;16;Таймаут переміщення засувки
FLT_GATE_POS_UNKNOWN;Constant;UInt;17;Невідома позиція засувки після переміщення
FLT_NO_RUNFB;Constant;UInt;12;Немає зворотного зв'язку роботи (норія/редлер/вентилятор)
FLT_NONE;Constant;UInt;0;Немає аварії
FLT_OVERFLOW;Constant;UInt;10;Аварія переповнення
GATE_AT_POS0;Constant;Int;6;Status_Param засувки — знаходиться в положенні 0
GATE_AT_POS1;Constant;Int;7;Status_Param засувки — знаходиться в положенні 1
LIMITS_MAX_ROUTES;Constant;USInt;12;Максимальна кількість паралельних маршрутів
LIMITS_MAX_STEPS;Constant;USInt;64;Максимальна кількість кроків у маршруті
OWNER_NONE;Constant;USInt;0;Власник відсутній
OWNER_ROUTE;Constant;USInt;2;Власник — маршрут
OWNER_SCADA;Constant;USInt;1;Власник — SCADA (ручний режим)
ROUTE_ABRT_BY_FAULT;Constant;UInt;304;Маршрут скасовано через аварію механізму
ROUTE_ABRT_BY_LOCAL;Constant;UInt;303;Маршрут скасовано через перехід у Local/Manual
ROUTE_ABRT_BY_OPERATOR;Constant;UInt;301;Маршрут зупинено оператором (STOP_OP)
